date,county,state,cases,deaths,type,SAH
2020-02-15,Cook,Illinois,2,0,Stay at home,0
2020-02-15,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-15,Bexar,Texas,2,0,Stay at home,0
2020-02-15,Bexar,Texas,2,0,Stay at home,0
2020-02-15,Snohomish,Washington,1,0,Stay at home,0
2020-02-15,Dane,Wisconsin,1,0,Stay at home,0
2020-02-16,Maricopa,Arizona,1,0,Stay at home,0
2020-02-16,Los Angeles,California,1,0,Stay at home,0
2020-02-16,Orange,California,1,0,Stay at home,0
2020-02-16,San Diego,California,1,0,Stay at home,0
2020-02-16,San Francisco,California,2,0,Stay at home,0
2020-02-16,Santa Clara,California,2,0,Stay at home,0
2020-02-16,Cook,Illinois,2,0,Stay at home,0
2020-02-16,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-16,Bexar,Texas,2,0,Stay at home,0
2020-02-16,Bexar,Texas,2,0,Stay at home,0
2020-02-16,Snohomish,Washington,1,0,Stay at home,0
2020-02-16,Dane,Wisconsin,1,0,Stay at home,0
2020-02-17,Maricopa,Arizona,1,0,Stay at home,0
2020-02-17,Los Angeles,California,1,0,Stay at home,0
2020-02-17,Orange,California,1,0,Stay at home,0
2020-02-17,San Diego,California,1,0,Stay at home,0
2020-02-17,San Francisco,California,2,0,Stay at home,0
2020-02-17,Santa Clara,California,2,0,Stay at home,0
2020-02-17,Cook,Illinois,2,0,Stay at home,0
2020-02-17,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-17,Douglas,Nebraska,10,0,,0
2020-02-17,Bexar,Texas,2,0,Stay at home,0
2020-02-17,Bexar,Texas,2,0,Stay at home,0
2020-02-17,Snohomish,Washington,1,0,Stay at home,0
2020-02-17,Dane,Wisconsin,1,0,Stay at home,0
2020-02-18,Maricopa,Arizona,1,0,Stay at home,0
2020-02-18,Los Angeles,California,1,0,Stay at home,0
2020-02-18,Orange,California,1,0,Stay at home,0
2020-02-18,San Diego,California,1,0,Stay at home,0
2020-02-18,San Francisco,California,2,0,Stay at home,0
2020-02-18,Santa Clara,California,2,0,Stay at home,0
2020-02-18,Cook,Illinois,2,0,Stay at home,0
2020-02-18,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-18,Douglas,Nebraska,10,0,,0
2020-02-18,Bexar,Texas,2,0,Stay at home,0
2020-02-18,Bexar,Texas,2,0,Stay at home,0
2020-02-18,Snohomish,Washington,1,0,Stay at home,0
2020-02-18,Dane,Wisconsin,1,0,Stay at home,0
2020-02-19,Maricopa,Arizona,1,0,Stay at home,0
2020-02-19,Los Angeles,California,1,0,Stay at home,0
2020-02-19,Orange,California,1,0,Stay at home,0
2020-02-19,San Diego,California,1,0,Stay at home,0
2020-02-19,San Francisco,California,2,0,Stay at home,0
2020-02-19,Santa Clara,California,2,0,Stay at home,0
2020-02-19,Cook,Illinois,2,0,Stay at home,0
2020-02-19,Suffolk,Massachusetts,1,0,Stay at home advisory,0
2020-02-19,Douglas,Nebraska,10,0,,0
2020-02-19,Bexar,Texas,2,0,Stay at home,0
2020-02-19,Bexar,Texas,2,0,Stay at home,0
2020-02-19,Snohomish,Washington,1,0,Stay at home,0
2020-02-19,Dane,Wisconsin,1,0,Stay at home,0
